mint,burned,burn_utc,burn_signature,current_raw_owner,current_world_staked,current_beneficial_owner,current_world_staking_wallet,latest_event_utc,latest_signature,quest_user_wallet,quest_staking_wallet,current_stake_deposit_utc,current_stake_deposit_signature,best_known_last_qualifying_quest_utc,best_known_last_qualifying_quest_signature,quest_history_source,deep_history_status
9PdtgkJr4zECQoJpJwARjJ9Qjo4rBnFtZYx9ip7Uh4Qd,0,,,BfBqvwoNLVSEvrjukaRUdex72PEF234oY8RogGtqFRZv,1,7LscpY288mvuC8kBax5KhcxH9BucLs9cCndo2HUi5xWb,BfBqvwoNLVSEvrjukaRUdex72PEF234oY8RogGtqFRZv,2025-12-01T14:47:11Z,372BYxjLK2jLDESftFhMy9yDTkVz7WmcQddtCr26kk371qHZs4B56tvVJrv38obsCQQ6mU8zFxNPgdhR17c8rBF4,7LscpY288mvuC8kBax5KhcxH9BucLs9cCndo2HUi5xWb,BfBqvwoNLVSEvrjukaRUdex72PEF234oY8RogGtqFRZv,2025-12-01T14:47:11Z,372BYxjLK2jLDESftFhMy9yDTkVz7WmcQddtCr26kk371qHZs4B56tvVJrv38obsCQQ6mU8zFxNPgdhR17c8rBF4,2026-08-25T07:31:11.000Z,4rtP3LQdxEFrF724Pcfj9eTdaMqDrbmvi11ewwfNYdLQTN1Zi9niu13zAFrmkA5n1V2cgfjmM8vUtzGWXEcmBYKc,DUNE_LIVE,LIVE_POST_BASELINE
9QkcQ8RNWHzVtPkzoB4cToobMDdPAiKyTJSgzEH591NW,0,,,38Bj4DFXhAkDxB6Atj66kdxGZfhZEC3ejRX1HDh1YFKj,1,8Vpqxxbon9s4Hnk2eMhysjx6XKjHiUgEUAm3MSq9yQv2,38Bj4DFXhAkDxB6Atj66kdxGZfhZEC3ejRX1HDh1YFKj,2025-04-26T14:27:11Z,3YtV2TBiqn5B2TycZucAjpVqaAsMaru9Y7czGkK8gdN1vH2vTm5zE5945svVSntcQKLgCRVukL5YJ7Qa6pqKxx6s,8Vpqxxbon9s4Hnk2eMhysjx6XKjHiUgEUAm3MSq9yQv2,38Bj4DFXhAkDxB6Atj66kdxGZfhZEC3ejRX1HDh1YFKj,2025-04-26T14:27:11Z,3YtV2TBiqn5B2TycZucAjpVqaAsMaru9Y7czGkK8gdN1vH2vTm5zE5945svVSntcQKLgCRVukL5YJ7Qa6pqKxx6s,2026-08-21T19:39:25.000Z,4AT1PFFkyADXcz2QFJi78yrTeP8dAhFkfWJU5JCvpEx2a7pWsAxn14owrdqpvwkTU7bAzxxCYoBijEksgty9W6qe,DUNE_LIVE,LIVE_POST_BASELINE
9QyeskW3xV3bo5CiiEfAiBLLmLsr5B2kD5K2eXVgXb1b,0,,,38Bj4DFXhAkDxB6Atj66kdxGZfhZEC3ejRX1HDh1YFKj,1,8Vpqxxbon9s4Hnk2eMhysjx6XKjHiUgEUAm3MSq9yQv2,38Bj4DFXhAkDxB6Atj66kdxGZfhZEC3ejRX1HDh1YFKj,2025-04-26T14:33:51Z,3gz5fhuJh3m3UiMz6R9bj8nb3SAMEcE5x29J6KkXYSUqt2662UpDR7Y3JoscM1hXSr3rHt3RsMR8FsT5tzXaz9oB,8Vpqxxbon9s4Hnk2eMhysjx6XKjHiUgEUAm3MSq9yQv2,38Bj4DFXhAkDxB6Atj66kdxGZfhZEC3ejRX1HDh1YFKj,2025-04-26T14:33:51Z,3gz5fhuJh3m3UiMz6R9bj8nb3SAMEcE5x29J6KkXYSUqt2662UpDR7Y3JoscM1hXSr3rHt3RsMR8FsT5tzXaz9oB,2026-08-21T19:39:25.000Z,4AT1PFFkyADXcz2QFJi78yrTeP8dAhFkfWJU5JCvpEx2a7pWsAxn14owrdqpvwkTU7bAzxxCYoBijEksgty9W6qe,DUNE_LIVE,LIVE_POST_BASELINE
9S5pVtokommW566hZe7RJsgjbtdNcsCmjgfi2nVAfmxD,0,,,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,1,Do9VaY2ru9QtaTWdhmuwc2Z9rj4rZ7D6EShdLTvxnp6h,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,2025-08-23T13:26:18Z,2hFLom3UPnEck6QXYhEXWWzmVmjh3QfBKPjvqh2hoUp2bfFKjmwFc9KEADgS8QMTU9CuVKtJnPb8Vuvbc3BfFmqa,Do9VaY2ru9QtaTWdhmuwc2Z9rj4rZ7D6EShdLTvxnp6h,Db1meMQEgj8dCwzhR5W6coWt1yV4iEaQsYPKKDyGRUqW,2025-08-23T13:26:18Z,2hFLom3UPnEck6QXYhEXWWzmVmjh3QfBKPjvqh2hoUp2bfFKjmwFc9KEADgS8QMTU9CuVKtJnPb8Vuvbc3BfFmqa,2026-08-26T21:34:16Z,5y9KKMidZA2pNm3QLD2z2j7BfPbwsAQt6HEVyCQMK7sSkCy7PRQUy35JJG3GRnTBDLDeD6YVxYpw9nXSayk6pTiK,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
9UT2KTBEVEreFFHbpLbQiBfqVwc269pe8zXNphV2Qjep,0,,,BCdR4tGAsJCV2PiD4y7LvUgSpoKhaEqj9cWLA68hCkzA,1,2hx9Je3RCTArTNhWJ4JYKreKxa1NPdTQqXZyBrgtUiKS,BCdR4tGAsJCV2PiD4y7LvUgSpoKhaEqj9cWLA68hCkzA,2024-01-16T20:53:12Z,5HXC6QRKWKSLGmAue5k4sdBJfe2s2MvmxjFYjUQZ2DUHnYxc3EjK9aLt7tvKr5qeENr7TupvTSHohM52DYyENKWM,2hx9Je3RCTArTNhWJ4JYKreKxa1NPdTQqXZyBrgtUiKS,BCdR4tGAsJCV2PiD4y7LvUgSpoKhaEqj9cWLA68hCkzA,2024-01-16T20:53:12Z,5HXC6QRKWKSLGmAue5k4sdBJfe2s2MvmxjFYjUQZ2DUHnYxc3EjK9aLt7tvKr5qeENr7TupvTSHohM52DYyENKWM,2026-08-28T07:33:31Z,3WnMgm1LaiyZF2QCBQCTGZxjKwxzixaRBAx5TYVVxU6iycjepqfBCzFeHYMVPPtNuwzRpoycy5tvW8jd3JHkLV6F,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
9V8LjMjSEjH6qzRoLR8rAb47trjj1dDituq2K8pymAWt,0,,,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,1,Cwg4F9HnwEKktX662TLjYvUjvZStpQHss9BasJYSaGPj,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,2026-02-22T16:21:15Z,53rdva1GkGg81Nnej5zKuPr8QSiRuKyg2rP6Nk2qu7GF4WbAL78m1dpxYjETUFGa6VE8NiqhHtVuc2vfc5kLeQBh,Cwg4F9HnwEKktX662TLjYvUjvZStpQHss9BasJYSaGPj,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,2026-02-22T16:21:15Z,53rdva1GkGg81Nnej5zKuPr8QSiRuKyg2rP6Nk2qu7GF4WbAL78m1dpxYjETUFGa6VE8NiqhHtVuc2vfc5kLeQBh,2026-08-28T06:25:53Z,3wyPJbJFHo4Fvu7Und18ezfHzbJFeq5FuiuZQzTTQAzrrC7RmAWXjXmonJge3e898SwmhStEUrJE6grUaYQ74KcV,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
9WanwWcDPyiibsTGd1ScmdHpVKUkegW1iHCEwGzc94ee,0,,,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,1,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:05:25Z,2jVX9bt9c3SGRnetAXxix7Xp4W42yFxXTt818Rf5zTXk3xnX8m5wspWwVitBw9G4NtssURUddUmGgDtkJenApPUF,FpqrjWJpTNwv1b1nu3Kouzn7KRZeAxcvyXfHgkGFQ9Gd,FYL4LRChq2a6w8PenydNEd1ExoKpBVNpueitXAXanSGy,2025-04-19T15:05:25Z,2jVX9bt9c3SGRnetAXxix7Xp4W42yFxXTt818Rf5zTXk3xnX8m5wspWwVitBw9G4NtssURUddUmGgDtkJenApPUF,2026-08-24T04:22:35.000Z,5oK95ozVzmUYxqJmZd7NLGb2U4oYDLVTieQMPA7TJve19iKQ41uaDdvJ8VHYNmcxSnH1A7BK2NrfTFFcJbTUKTey,DUNE_LIVE,LIVE_POST_BASELINE
9Wx8YR7UjYcm5vwi1Gzu8UxARkaXSCyurBtjbTEouXUb,0,,,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,1,Cwg4F9HnwEKktX662TLjYvUjvZStpQHss9BasJYSaGPj,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,2026-02-22T16:20:48Z,2utZSP3KuYZuUBh1XaTMLtYC7XdfEWzj4Zfdj2Xito8HM9J7uoM4vT6xy995nLJ6Vwp9R1hSMwQLJrQcuxGoqTq1,Cwg4F9HnwEKktX662TLjYvUjvZStpQHss9BasJYSaGPj,8TAx5eRzjvYioRmc83vrzWuEzhav63ccEs7ZuzndxddU,2026-02-22T16:20:48Z,2utZSP3KuYZuUBh1XaTMLtYC7XdfEWzj4Zfdj2Xito8HM9J7uoM4vT6xy995nLJ6Vwp9R1hSMwQLJrQcuxGoqTq1,2026-08-28T06:25:53Z,3wyPJbJFHo4Fvu7Und18ezfHzbJFeq5FuiuZQzTTQAzrrC7RmAWXjXmonJge3e898SwmhStEUrJE6grUaYQ74KcV,INDEPENDENT_LIVE,LIVE_POST_CUTOVER
9aeo4GTefp6xjgjwGjc6oy5TGhFWTSDwwJ34LiRbfyDE,1,2026-08-24T15:31:42.000Z,4vCVtgkBVLBk7mDP9ph8dujTsrC1u9peWZbWF6sc8o4s2GD7PShbFWsbVLoo7ivijgNvkc1SVT7PcHiEGMrk61wx,,0,,,2026-08-24T15:31:42.000Z,4vCVtgkBVLBk7mDP9ph8dujTsrC1u9peWZbWF6sc8o4s2GD7PShbFWsbVLoo7ivijgNvkc1SVT7PcHiEGMrk61wx,,,,,,,,
9bBKPEtqysLcYrAiumu9HRBdSVyRAAaMifXe9ofTtqsv,0,,,BfBqvwoNLVSEvrjukaRUdex72PEF234oY8RogGtqFRZv,1,7LscpY288mvuC8kBax5KhcxH9BucLs9cCndo2HUi5xWb,BfBqvwoNLVSEvrjukaRUdex72PEF234oY8RogGtqFRZv,2025-09-25T10:39:03Z,4kxqi8hU233QY1mjjDvbPwQiq7PEbrFujp8HqRnMj4WA8GWc4g3BQmpyZGoVetcJwBMnsnCqzeyhiy7eqJ5YeUWx,7LscpY288mvuC8kBax5KhcxH9BucLs9cCndo2HUi5xWb,BfBqvwoNLVSEvrjukaRUdex72PEF234oY8RogGtqFRZv,2025-09-25T10:39:03Z,4kxqi8hU233QY1mjjDvbPwQiq7PEbrFujp8HqRnMj4WA8GWc4g3BQmpyZGoVetcJwBMnsnCqzeyhiy7eqJ5YeUWx,2026-08-25T07:31:11.000Z,4rtP3LQdxEFrF724Pcfj9eTdaMqDrbmvi11ewwfNYdLQTN1Zi9niu13zAFrmkA5n1V2cgfjmM8vUtzGWXEcmBYKc,DUNE_LIVE,LIVE_POST_BASELINE
